STATISTIC Label,Quarter,Number of Bedrooms,Property Type,Location,UNIT,VALUE
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Bettystown, Meath",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Clonee, Meath",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Drogheda, Meath",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Duleek, Meath",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Dunboyne, Meath",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Dunshaughlin, Meath",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Enfield, Meath",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Kells, Meath",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Laytown, Meath",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Navan, Meath",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Ratoath, Meath",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Stamullen, Meath",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Trim, Meath",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,Monaghan,Euro,831.14
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Ballybay, Monaghan",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Carrickmacross, Monaghan",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Castleblayney, Monaghan",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,Monaghan Town,Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,Offaly,Euro,1011.3
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Banagher, Offaly",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Birr, Offaly",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Clara, Offaly",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Edenderry, Offaly",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Tullamore, Offaly",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,Roscommon,Euro,849.49
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,Roscommon Town,Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Athlone, Roscommon",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Ballaghaderreen, Roscommon",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Boyle, Roscommon",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Castlerea, Roscommon",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Strokestown, Roscommon",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,Sligo,Euro,849.5
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,Sligo Town,Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Ballinode, Sligo",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Ballisodare, Sligo",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Ballymote, Sligo",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Ballytivnan, Sligo",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Collooney, Sligo",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Lough Gill, Sligo",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Strandhill, Sligo",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Tubbercurry, Sligo",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,Tipperary,Euro,882.75
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,Tipperary Town,Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Ballina, Tipperary",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Cahir, Tipperary",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Carrick-On-Suir, Tipperary",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Cashel, Tipperary",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Clonmel, Tipperary",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Fethard, Tipperary",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Nenagh, Tipperary",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Roscrea, Tipperary",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Templemore, Tipperary",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Thurles, Tipperary",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,Waterford,Euro,919.14
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,Waterford City,Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Ballytruckle, Waterford",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Canada Street, Waterford",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Castle Place, Waterford",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Cork Road, Waterford",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Dungarvan, Waterford",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Dunmore East, Waterford",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Dunmore Road, Waterford",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Ferrybank, Waterford",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Inner Ring Road, Waterford",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Johns Hill, Waterford",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Lismore, Waterford",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Mary Street, Waterford",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Penrose Lane, Waterford",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Poleberry, Waterford",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Portlaw, Waterford",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Railway Square, Waterford",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Scotch Quay, Waterford",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Templars Hall, Waterford",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Tramore, Waterford",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,Westmeath,Euro,1018.87
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Athlone, Westmeath",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Castlepollard, Westmeath",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Kilbeggan, Westmeath",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Kinnegad, Westmeath",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Moate, Westmeath",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Mullingar, Westmeath",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,Wexford,Euro,1038.31
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Bunclody, Wexford",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Clonard, Wexford",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Enniscorthy, Wexford",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Ferns, Wexford",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Ford, Wexford",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Gorey, Wexford",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Mulgannon, Wexford",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"New Ross, Wexford",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Rosslare, Wexford",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,Wicklow,Euro,1483.89
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,Wicklow Town,Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Arklow, Wicklow",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Baltinglass, Wicklow",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Blessington, Wicklow",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Bray, Wicklow",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Delgany, Wicklow",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Greystones, Wicklow",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Kilcoole, Wicklow",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Newtownmountkennedy, Wicklow",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Detached house,"Rathnew, Wicklow",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,Carlow,Euro,1074.15
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,Carlow Town,Euro,1098.26
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Graiguecullen, Carlow",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Tullow, Carlow",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,Cavan,Euro,863.11
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,Cavan Town,Euro,961.13
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Bailieborough, Cavan",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Ballyconnell, Cavan",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Ballyjamesduff, Cavan",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Belturbet, Cavan",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Cootehill, Cavan",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Kingscourt, Cavan",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Virginia, Cavan",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,Clare,Euro,1028.5
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Ennis, Clare",Euro,1047.07
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Killaloe, Clare",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Kilrush, Clare",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Newmarket-On-Fergus, Clare",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Shannon, Clare",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Sixmilebridge, Clare",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,Cork,Euro,1309.18
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,Cork City,Euro,1503.97
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Ballincollig, Cork",Euro,1427.6
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Ballintemple, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Ballinure, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Bandon, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Bantry, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Bishopstown, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Blackpool, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Blackrock, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Blarney, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Carrigaline, Cork",Euro,1382
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Carrigtwohill, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Castlemartyr, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Charleville, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Clonakilty, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Cloyne, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Cobh, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Crosshaven, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Douglas, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Dunmanway, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Fermoy, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Frankfield, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Glanmire, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Kanturk, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Kinsale, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Macroom, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Mallow, Cork",Euro,1088.3
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Midleton, Cork",Euro,1191.68
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Millstreet, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Mitchelstown, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Montenotte, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Passage West, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Rathcormac, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Ringaskiddy, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Rochestown, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Skibbereen, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Tivoli, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Tower, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Whitegate, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Wilton, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Youghal, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,Donegal,Euro,843.46
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,Donegal Town,Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Ballybofey, Donegal",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Buncrana, Donegal",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Bundoran, Donegal",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Carndonagh, Donegal",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Letterkenny, Donegal",Euro,911.53
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Lifford, Donegal",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Stranorlar, Donegal",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,Dublin,Euro,2050.7
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Balbriggan, Dublin",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Blackrock, Dublin",Euro,2419.3
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Booterstown, Dublin",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Cabinteely, Dublin",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Citywest, Dublin",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Dalkey, Dublin",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Donabate, Dublin",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Dun Laoghaire, Dublin",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Glenageary, Dublin",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Howth, Dublin",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Killiney, Dublin",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Kinsealy, Dublin",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Lucan, Dublin",Euro,1870.38
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Lusk, Dublin",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Malahide, Dublin",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Monkstown, Dublin",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Mount Merrion, Dublin",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Portmarnock, Dublin",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Rathcoole, Dublin",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Rush, Dublin",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Saggart, Dublin",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Sandycove, Dublin",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Shankill, Dublin",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Skerries, Dublin",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Stepaside, Dublin",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Stillorgan, Dublin",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Swords, Dublin",Euro,1796.73
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,Dublin 1,Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"I.F.S.C., Dublin 1",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Parnell Street, Dublin 1",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Spencer Dock, Dublin 1",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Summerhill, Dublin 1",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,Dublin 2,Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Aungier Street, Dublin 2",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Charlemont Street, Dublin 2",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Grand Canal Dock, Dublin 2",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Grand Canal Square, Dublin 2",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Hanover Quay, Dublin 2",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Lower Mount Street, Dublin 2",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Pearse Street, Dublin 2",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Tara Street, Dublin 2",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Temple Bar, Dublin 2",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Townsend Street, Dublin 2",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,Dublin 3,Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Clonliffe, Dublin 3",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Clontarf, Dublin 3",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Drumcondra, Dublin 3",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"East Wall, Dublin 3",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Eastwall, Dublin 3",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Fairview, Dublin 3",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Marino, Dublin 3",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"North Strand, Dublin 3",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,Dublin 4,Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Ballsbridge, Dublin 4",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Donnybrook, Dublin 4",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Irishtown, Dublin 4",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Merrion, Dublin 4",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Pembroke, Dublin 4",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Ringsend, Dublin 4",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Sandymount, Dublin 4",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,Dublin 5,Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Artane, Dublin 5",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Killester, Dublin 5",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Raheny, Dublin 5",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,Dublin 6,Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Dartry, Dublin 6",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Harolds Cross, Dublin 6",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Milltown, Dublin 6",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Ranelagh, Dublin 6",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Rathgar, Dublin 6",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Rathmines, Dublin 6",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Terenure, Dublin 6",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,Dublin 6W,Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Harolds Cross, Dublin 6W",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Templeogue, Dublin 6W",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Terenure, Dublin 6W",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,Dublin 7,Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Arbour Hill, Dublin 7",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Cabra, Dublin 7",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Navan Road, Dublin 7",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"North Circular Road, Dublin 7",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Phibsboro, Dublin 7",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Smithfield, Dublin 7",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Stoneybatter, Dublin 7",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,Dublin 8,Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Christchurch, Dublin 8",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Cork Street, Dublin 8",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Dolphins Barn, Dublin 8",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Inchicore, Dublin 8",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Islandbridge, Dublin 8",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Kilmainham , Dublin 8",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Portobello, Dublin 8",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Rialto, Dublin 8",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"South Circular Road, Dublin 8",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"The Coombe, Dublin 8",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,Dublin 9,Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Ballymun, Dublin 9",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Beaumont, Dublin 9",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Drumcondra, Dublin 9",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Glasnevin, Dublin 9",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Santry, Dublin 9",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Whitehall, Dublin 9",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,Dublin 10,Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Ballyfermot, Dublin 10",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Cherry Orchard, Dublin 10",Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,Dublin 11,Euro,
RTB Average Monthly Rent Report,2023Q1,Three bed,Semi detached house,"Ballymun, Dublin 11",Euro,
